Model,z,AUC
BA,-1.0,0.8126000519263368
BA,-0.9,0.817484743695873
BA,-0.8,0.8185718686307146
BA,-0.7,0.8228460177963721
BA,-0.6,0.8244345087374926
BA,-0.5,0.8232649911394081
BA,-0.4,0.8263491861165956
BA,-0.3,0.8261101785521607
BA,-0.2,0.8287569228518419
BA,-0.1,0.8292397707717711
BA,0.0,0.8305831952041827
BA,0.1,0.8285447435413172
BA,0.2,0.8285408234215201
BA,0.3,0.8285362170018769
BA,0.4,0.824911563559117
BA,0.5,0.8253716182642293
BA,0.6,0.821473077768285
BA,0.7,0.8236150673242939
BA,0.8,0.817902721406668
BA,0.9,0.808403835831644
BA,1.0,0.8114631609063561
DA,-1.0,0.8108738646543229
DA,-0.9,0.8158750086641084
DA,-0.8,0.8165647155884119
DA,-0.7,0.8158534849884342
DA,-0.6,0.8198183188436254
DA,-0.5,0.8202533948070868
DA,-0.4,0.8210196034616674
DA,-0.3,0.8221369947825077
DA,-0.2,0.8239589463090028
DA,-0.1,0.8207677463923464
DA,0.0,0.8261511541417621
DA,0.1,0.825128409688495
DA,0.2,0.8251866612094523
DA,0.3,0.8259515067111389
DA,0.4,0.8250253808963769
DA,0.5,0.8258307402990063
DA,0.6,0.8242736191098253
DA,0.7,0.8235295393289969
DA,0.8,0.8195552456107934
DA,0.9,0.8225079845205949
DA,1.0,0.8187432817404333
UA,-1.0,0.8286581888355211
UA,-0.9,0.8273367525507208
UA,-0.8,0.8300255608804965
UA,-0.7,0.8289637791930231
UA,-0.6,0.8294756737062463
UA,-0.5,0.8283091416984133
UA,-0.4,0.8297474199038924
UA,-0.3,0.8288911521575133
UA,-0.2,0.8296008904146058
UA,-0.1,0.8280481247019261
UA,0.0,0.8302234417416139
UA,0.1,0.8286791785158473
UA,0.2,0.8293917461392769
UA,0.3,0.8282904806036169
UA,0.4,0.8291389419781785
UA,0.5,0.8290757651578867
UA,0.6,0.8283216360438825
UA,0.7,0.8286974404834159
UA,0.8,0.8297143546526551
UA,0.9,0.8305164066709043
UA,1.0,0.8292404729000293
